Source,Target,EdgeType,Weight
Module_1__receptor_secretion,Alanine Metabolism,Pathway-Host,2341.010411796291
Module_1__receptor_secretion,Betaine Metabolism,Pathway-Host,2341.010411796291
Module_1__receptor_secretion,Biotin Metabolism,Pathway-Host,2237.7305406876308
Module_1__receptor_secretion,Caffeine Metabolism,Pathway-Host,2275.9823448019492
Module_1__receptor_secretion,ADA,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ADA2,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ADCY1,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ADCY10,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ADCY2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ADCY3,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ADCY4,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ADCY5,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ADCY7,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ADCY8,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ADCY9,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ADSL,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ADSS1,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ADSS2,Host-Gene,1.334589913340493
Module_1__receptor_secretion,AK3,Host-Gene,1.334589913340493
Module_1__receptor_secretion,AK4,Host-Gene,1.334589913340493
Module_1__receptor_secretion,AK7,Host-Gene,1.334589913340493
Module_1__receptor_secretion,AK9,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ALB,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ALDH6A1,Host-Gene,3.949001091461268
Module_1__receptor_secretion,ALLC,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ALOX5,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,AMPD2,Host-Gene,1.334589913340493
Module_1__receptor_secretion,AMPD3,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ASGR1,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ASGR2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATF6B,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATP1A1,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATP1A2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATP1A3,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATP1A4,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATP1B1,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATP1B2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ATP1B4,Host-Gene,4.490791413796576
Module_1__receptor_secretion,BMP15,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,BMP6,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,CANT1,Host-Gene,1.334589913340493
Module_1__receptor_secretion,CANX,Host-Gene,4.490791413796576
Module_1__receptor_secretion,CDIPT,Host-Gene,3.949001091461268
Module_1__receptor_secretion,CREB3L1,Host-Gene,4.490791413796576
Module_1__receptor_secretion,CREB3L2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,CREB3L3,Host-Gene,4.490791413796576
Module_1__receptor_secretion,CREB5,Host-Gene,4.490791413796576
Module_1__receptor_secretion,CYP11A1,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,CYP17A1,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,CYP19A1,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,CYP1A1,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,CYP1B1,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,DGUOK,Host-Gene,1.334589913340493
Module_1__receptor_secretion,DUOX1,Host-Gene,4.490791413796576
Module_1__receptor_secretion,DUOX2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,DUOXA2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,ENPP1,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ENPP3,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ENPP4,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ENTPD1,Host-Gene,1.334589913340493
Module_1__receptor_secretion,ENTPD5,Host-Gene,1.334589913340493
Module_1__receptor_secretion,FIG4,Host-Gene,3.949001091461268
Module_1__receptor_secretion,FSHB,Host-Gene,1.4366370814095537
Module_1__receptor_secretion,FXYD2,Host-Gene,4.490791413796576
Module_1__receptor_secretion,GART,Host-Gene,1.334589913340493
Module_1__receptor_secretion,GDA,Host-Gene,1.334589913340493
Module_1__receptor_secretion,GNAQ,Host-Gene,4.490791413796576
