Node,Type,PageRank,Degree,Betweenness,Closeness,r_pagerank,r_degree,r_between,r_close,ConsensusScore
Module_60__metabolic_catabolic,HostModule,0.07613473572360177,321,0.21154991464854334,0.27792678130248183,0.9991452991452991,1.0,1.0,1.0,0.9997863247863248
Module_3__growth_development,HostModule,0.10502200640545646,254,0.17812822769720552,0.2666459561366855,1.0,0.9982905982905983,0.9991452991452991,0.9991452991452991,0.9991452991452991
Module_21__transport_lipid,HostModule,0.07378698604693437,266,0.1565194529337067,0.2625212362222282,0.9982905982905983,0.9991452991452991,0.9982905982905983,0.9982905982905983,0.9985042735042735
Module_1__receptor_secretion,HostModule,0.07328331090295116,204,0.12568588815356288,0.23784040759053263,0.9974358974358974,0.9974358974358974,0.9974358974358974,0.9888888888888889,0.9952991452991453
Module_4__collagen_organization,HostModule,0.035839913997238855,98,0.08023765142513002,0.21330280073254104,0.9965811965811966,0.9965811965811966,0.9965811965811966,0.923931623931624,0.9784188034188035
COL6A1,Gene,0.0009677823643187593,3,0.03725171940888251,0.24050882668957016,0.9683760683760684,0.9551282051282052,0.9957264957264957,0.9897435897435898,0.9772435897435898
SOX9,Gene,0.0009660220385315875,4,0.012286542184540592,0.2375629617957347,0.9675213675213675,0.9632478632478633,0.9871794871794872,0.9880341880341881,0.9764957264957266
LDLR,Gene,0.000731810773095638,3,0.014728490155591991,0.24827899908490528,0.9641025641025641,0.9551282051282052,0.9893162393162394,0.9910256410256411,0.9748931623931625
IGF1,Gene,0.0006658244890156291,3,0.014088612024316575,0.26167792997030975,0.9495726495726495,0.9551282051282052,0.9880341880341881,0.9974358974358974,0.972542735042735
LRP2,Gene,0.0006611789476030594,3,0.014728490155591991,0.24827899908490528,0.9487179487179487,0.9551282051282052,0.9893162393162394,0.9910256410256411,0.9710470085470085
Module_72__amino_catabolic,HostModule,0.021623481668886453,69,0.024130284798376603,0.20701484015186128,0.9957264957264957,0.9957264957264957,0.994017094017094,0.8931623931623932,0.9696581196581197
AKT1,Gene,0.0007145343136279354,3,0.0052476828591727495,0.2346883883600041,0.9585470085470086,0.9551282051282052,0.9773504273504273,0.9867521367521368,0.9694444444444444
AKT2,Gene,0.0007145343136279354,3,0.0052476828591727495,0.2346883883600041,0.9585470085470086,0.9551282051282052,0.9773504273504273,0.9867521367521368,0.9694444444444444
GPX1,Gene,0.0006077672478802851,3,0.004333350697885467,0.24964860435108008,0.9401709401709402,0.9551282051282052,0.9730769230769231,0.9944444444444445,0.9657051282051282
PLA2G4A,Gene,0.0005882900008134828,3,0.004333350697885467,0.24964860435108008,0.9324786324786325,0.9551282051282052,0.9730769230769231,0.9944444444444445,0.9637820512820513
PLA2G4B,Gene,0.0005882900008134828,3,0.004333350697885467,0.24964860435108008,0.9324786324786325,0.9551282051282052,0.9730769230769231,0.9944444444444445,0.9637820512820513
PLA2G4F,Gene,0.0005882900008134828,3,0.004333350697885467,0.24964860435108008,0.9324786324786325,0.9551282051282052,0.9730769230769231,0.9944444444444445,0.9637820512820513
PLA2G4C,Gene,0.0005882900008134828,3,0.004333350697885467,0.24964860435108008,0.9324786324786325,0.9551282051282052,0.9730769230769231,0.9944444444444445,0.9637820512820513
PLA2G4D,Gene,0.0005882900008134828,3,0.004333350697885467,0.24964860435108008,0.9324786324786325,0.9551282051282052,0.9730769230769231,0.9944444444444445,0.9637820512820513
PLIN5,Gene,0.0006052770019414489,3,0.0019347906598426077,0.23214687831221836,0.9371794871794872,0.9551282051282052,0.9337606837606838,0.9833333333333333,0.9523504273504273
PRKAA1,Gene,0.0006052770019414489,3,0.0019347906598426077,0.23214687831221836,0.9371794871794872,0.9551282051282052,0.9337606837606838,0.9833333333333333,0.9523504273504273
